Slice,Count,Total Area,Average Size,%Area
01.jpg,171,42197,246.76608,0.08402
01.jpg,62,16914,272.80645,0.10149
01.jpg,60,14547,242.45000,0.08548
01.jpg,49,10736,219.10204,0.06492
02.jpg,176,48387,274.92614,0.11721
02.jpg,49,11712,239.02041,0.10818
02.jpg,67,21857,326.22388,0.13514
02.jpg,59,14676,248.74576,0.10276
03.jpg,142,52929,372.73944,0.10773
03.jpg,43,17570,408.60465,0.10604
03.jpg,39,14966,383.74359,0.09559
03.jpg,60,20549,342.48333,0.12151
04.jpg,226,61230,270.92920,0.11976
04.jpg,68,19477,286.42647,0.11110
04.jpg,73,21024,288.00000,0.12551
04.jpg,86,20729,241.03488,0.12301
05.jpg,116,20213,174.25000,0.04055
05.jpg,47,8979,191.04255,0.05567
05.jpg,30,4900,163.33333,0.02954
05.jpg,39,6334,162.41026,0.03695
06.jpg,71,15920,224.22535,0.03156
06.jpg,24,7045,293.54167,0.04467
06.jpg,18,4379,243.27778,0.02552
06.jpg,29,4496,155.03448,0.02567
07.jpg,87,15911,182.88506,0.03345
07.jpg,19,3843,202.26316,0.02688
07.jpg,30,4690,156.33333,0.02759
07.jpg,38,7378,194.15789,0.04532
08.jpg,97,18081,186.40206,0.03459
08.jpg,31,5028,162.19355,0.02860
08.jpg,36,7776,216.00000,0.04374
08.jpg,30,5277,175.90000,0.03120
09.jpg,211,41118,194.87204,0.07924
09.jpg,64,12233,191.14062,0.07153
09.jpg,65,11603,178.50769,0.06618
09.jpg,81,17176,212.04938,0.09950
10.jpg,228,67119,294.38158,0.16080
10.jpg,46,13076,284.26087,0.10332
10.jpg,60,18638,310.63333,0.15147
10.jpg,121,35320,291.90083,0.21044
11.jpg,305,82387,270.12131,0.15519
11.jpg,91,16486,181.16484,0.09393
11.jpg,82,20726,252.75610,0.11644
11.jpg,132,45168,342.18182,0.25455
12.jpg,276,64725,234.51087,0.12382
12.jpg,74,13896,187.78378,0.08081
12.jpg,84,17435,207.55952,0.09956
12.jpg,118,33356,282.67797,0.18986
13.jpg,208,94870,456.10577,0.18225
13.jpg,64,34721,542.51562,0.20121
13.jpg,61,17129,280.80328,0.09654
13.jpg,83,42939,517.33735,0.25150
14.jpg,284,105078,369.99296,0.20651
14.jpg,86,26745,310.98837,0.15970
14.jpg,94,35852,381.40426,0.21795
14.jpg,104,42393,407.62500,0.23968
15.jpg,211,176126,834.72038,0.34892
15.jpg,53,34003,641.56604,0.22864
15.jpg,76,78350,1030.92105,0.43168
15.jpg,83,63745,768.01205,0.36512
16.jpg,96,25758,268.31250,0.04846
16.jpg,33,6330,191.81818,0.03559
16.jpg,30,9735,324.50000,0.05467
16.jpg,34,9797,288.14706,0.05577
17.jpg,148,78509,530.46622,0.14777
17.jpg,47,22165,471.59574,0.12592
17.jpg,46,29000,630.43478,0.16155
17.jpg,55,27291,496.20000,0.15529
18.jpg,159,98670,620.56604,0.18551
18.jpg,60,39321,655.35000,0.22203
18.jpg,51,28528,559.37255,0.15986
18.jpg,49,30909,630.79592,0.17523
19.jpg,118,49932,423.15254,0.09585
19.jpg,34,15353,451.55882,0.08717
19.jpg,39,15311,392.58974,0.08780
19.jpg,45,19225,427.22222,0.11283
20.jpg,145,48556,334.86897,0.09395
20.jpg,42,14719,350.45238,0.08656
20.jpg,45,15272,339.37778,0.08769
20.jpg,58,18565,320.08621,0.10753
21.jpg,154,32868,213.42857,0.06354
21.jpg,48,10615,221.14583,0.06139
21.jpg,50,9851,197.02000,0.05692
21.jpg,56,12377,221.01786,0.07224
22.jpg,32,8541,266.90625,0.01645
22.jpg,14,3619,258.50000,0.02097
22.jpg,6,3268,544.66667,0.01885
22.jpg,12,1654,137.83333,0.00954
23.jpg,41,7402,180.53659,0.01459
23.jpg,8,1503,187.87500,0.00892
23.jpg,20,3698,184.90000,0.02171
23.jpg,13,2201,169.30769,0.01306
24.jpg,57,12689,222.61404,0.02552
24.jpg,18,3736,207.55556,0.02230
24.jpg,19,5194,273.36842,0.03104
24.jpg,20,3756,187.80000,0.02315
25.jpg,19,3615,190.26316,0.00708
25.jpg,4,619,154.75000,0.00360
25.jpg,10,2165,216.50000,0.01234
25.jpg,5,730,146.00000,0.00447
26.jpg,20,4754,237.70000,0.01006
26.jpg,12,3123,260.25000,0.01978
26.jpg,4,1016,254.00000,0.00628
26.jpg,4,615,153.75000,0.00403
27.jpg,16,6421,401.31250,0.01233
27.jpg,6,1545,257.50000,0.00864
27.jpg,7,3937,562.42857,0.02301
27.jpg,3,939,313.00000,0.00549
28.jpg,24,5964,248.50000,0.01174
28.jpg,10,2553,255.30000,0.01557
28.jpg,5,1506,301.20000,0.00839
28.jpg,9,1905,211.66667,0.01156
29.jpg,41,7701,187.82927,0.01508
29.jpg,18,4080,226.66667,0.02339
29.jpg,9,1470,163.33333,0.00879
29.jpg,14,2151,153.64286,0.01273
30.jpg,11,2171,197.36364,0.00437
30.jpg,2,295,147.50000,0.00180
30.jpg,6,1123,187.16667,0.00690
30.jpg,3,753,251.00000,0.00444
31.jpg,24,4451,185.45833,0.00836
31.jpg,7,1191,170.14286,0.00684
31.jpg,8,1383,172.87500,0.00772
31.jpg,9,1877,208.55556,0.01048
32.jpg,38,7293,191.92105,0.01423
32.jpg,16,2937,183.56250,0.01780
32.jpg,9,1369,152.11111,0.00792
32.jpg,13,2957,227.46154,0.01694
33.jpg,20,11148,557.40000,0.02174
33.jpg,7,1600,228.57143,0.00939
33.jpg,7,8149,1164.14286,0.04744
33.jpg,6,1399,233.16667,0.00820
34.jpg,10,1587,158.70000,0.00306
34.jpg,7,1066,152.28571,0.00616
34.jpg,1,141,141.00000,0.00081
34.jpg,2,380,190.00000,0.00220
35.jpg,31,7516,242.45161,0.01483
35.jpg,10,3383,338.30000,0.02025
35.jpg,9,1366,151.77778,0.00797
35.jpg,12,2767,230.58333,0.01643
36.jpg,13,4520,347.69231,0.00897
36.jpg,5,3137,627.40000,0.01865
36.jpg,4,757,189.25000,0.00448
36.jpg,4,626,156.50000,0.00374
37.jpg,21,3775,179.76190,0.00762
37.jpg,8,1403,175.37500,0.00838
37.jpg,5,1080,216.00000,0.00663
37.jpg,7,1176,168.00000,0.00713
38.jpg,29,7422,255.93103,0.01437
38.jpg,10,4528,452.80000,0.02668
38.jpg,11,1853,168.45455,0.01072
38.jpg,8,1041,130.12500,0.00599
39.jpg,12,2776,231.33333,0.00543
39.jpg,0,0,NaN,0.00000
39.jpg,5,724,144.80000,0.00422
39.jpg,7,2052,293.14286,0.01217
40.jpg,23,4984,216.69565,0.00978
40.jpg,7,1494,213.42857,0.00870
40.jpg,7,1474,210.57143,0.00867
40.jpg,9,2016,224.00000,0.01202
41.jpg,214,75483,352.72430,0.14352
41.jpg,66,22727,344.34848,0.12987
41.jpg,77,31087,403.72727,0.17662
41.jpg,71,21674,305.26761,0.12378
42.jpg,268,125887,469.72761,0.24337
42.jpg,105,43488,414.17143,0.25333
42.jpg,87,45395,521.78161,0.26248
42.jpg,77,37034,480.96104,0.21443
43.jpg,97,25565,263.55670,0.04890
43.jpg,28,7346,262.35714,0.04297
43.jpg,27,6699,248.11111,0.03794
43.jpg,42,11520,274.28571,0.06573
44.jpg,131,31590,241.14504,0.06151
44.jpg,44,9272,210.72727,0.05538
44.jpg,46,10639,231.28261,0.06039
44.jpg,41,11679,284.85366,0.06871
45.jpg,137,40693,297.02920,0.08591
45.jpg,37,11998,324.27027,0.07738
45.jpg,42,12442,296.23810,0.08224
45.jpg,58,16253,280.22414,0.09712
46.jpg,101,27037,267.69307,0.05743
46.jpg,27,7743,286.77778,0.05190
46.jpg,32,8978,280.56250,0.05992
46.jpg,41,10222,249.31707,0.05953
47.jpg,253,101345,400.57312,0.19838
47.jpg,72,24677,342.73611,0.14472
47.jpg,88,43395,493.12500,0.25363
47.jpg,94,33245,353.67021,0.19632
48.jpg,296,113944,384.94595,0.22110
48.jpg,93,34685,372.95699,0.20032
48.jpg,108,52830,489.16667,0.32355
48.jpg,94,26164,278.34043,0.14632
