 ,Label,Area,%Area
1,01.jpg:4674-3546,51368256,0.08568
2,01.jpg:1830-3553,17541661,0.07801
3,01.jpg:4674-3548,17715717,0.09127
4,01.jpg:7518-3546,16097639,0.08787
5,02.jpg:4806-3738,54490458,0.06940
6,02.jpg:1906-3694,17981219,0.07884
7,02.jpg:4806-3738,18521172,0.05765
8,02.jpg:7706-3781,17988371,0.07209
9,03.jpg:4734-3750,52646762,0.06345
10,03.jpg:1930-3750,17805110,0.06159
11,03.jpg:4734-3724,17655654,0.06532
12,03.jpg:7538-3698,17207360,0.06359
13,04.jpg:4626-3768,52244352,0.06049
14,04.jpg:1830-3720,17002870,0.06078
15,04.jpg:4626-3745,17711277,0.05415
16,04.jpg:7422-3768,17510427,0.06667
17,05.jpg:4632-3714,51124256,0.05128
18,05.jpg:1848-3775,16909662,0.04723
19,05.jpg:4632-3726,17144461,0.06157
20,05.jpg:7416-3678,17066908,0.04502
21,06.jpg:4746-3828,52003593,0.08074
22,06.jpg:1966-3852,17259803,0.10389
23,06.jpg:4746-3840,17442732,0.06603
24,06.jpg:7526-3828,17286408,0.07249
25,07.jpg:4578-3804,53051682,0.08504
26,07.jpg:1774-3787,17529014,0.08609
27,07.jpg:4578-3792,17744563,0.08955
28,07.jpg:7382-3836,17766321,0.07926
29,08.jpg:4578-3810,53657419,0.09064
30,08.jpg:1662-3810,17901574,0.09786
31,08.jpg:4578-3819,18118857,0.09156
32,08.jpg:7494-3880,17644324,0.08229
33,09.jpg:4632-3630,54054432,0.06273
34,09.jpg:1824-3630,18279512,0.06090
35,09.jpg:4632-3650,18099536,0.06464
36,09.jpg:7440-3670,17694155,0.06268
37,10.jpg:4710-3756,52495595,0.11759
38,10.jpg:1882-3756,17600711,0.10825
39,10.jpg:4710-3761,17509992,0.11327
40,10.jpg:7538-3768,17360023,0.13148
41,11.jpg:4566-3852,50735586,0.06697
42,11.jpg:1810-3868,16679588,0.07169
43,11.jpg:4566-3858,17048983,0.06132
44,11.jpg:7322-3848,17011233,0.06801
45,12.jpg:4590-3918,51042384,0.08366
46,12.jpg:1826-3934,16773522,0.08572
47,12.jpg:4590-3926,17205968,0.07557
48,12.jpg:7354-3918,17041343,0.08988
49,13.jpg:4710-3708,52653725,0.12532
50,13.jpg:1890-3708,16740881,0.08627
51,13.jpg:4710-3653,17978479,0.13163
52,13.jpg:7530-3638,17936525,0.15550
53,14.jpg:4554-3846,52217191,0.10498
54,14.jpg:1718-3818,17792026,0.12313
55,14.jpg:4554-3842,18093950,0.06042
56,14.jpg:7390-3866,16323012,0.13463
57,15.jpg:4704-3708,52469856,0.11118
58,15.jpg:1888-3728,17197845,0.07420
59,15.jpg:4704-3696,17703150,0.10157
60,15.jpg:7520-3664,17564525,0.15731
61,16.jpg:4704-3696,53778959,0.06335
62,16.jpg:1872-3652,17815201,0.05870
63,16.jpg:4704-3699,18181724,0.06750
64,16.jpg:7536-3683,17794321,0.06371
65,17.jpg:3768-3642,41408244,0.10834
66,17.jpg:1608-3642,13917108,0.14156
67,17.jpg:3768-3643,13829474,0.08524
68,17.jpg:5928-3645,13664908,0.09794
69,18.jpg:4734-3840,53361238,0.11891
70,18.jpg:1906-3781,17763799,0.09752
71,18.jpg:4734-3826,18212996,0.11797
72,18.jpg:7562-3860,17376171,0.14181
73,19.jpg:4734-3678,51274569,0.09071
74,19.jpg:1922-3674,17212148,0.09153
75,19.jpg:4734-3676,17445706,0.08457
76,19.jpg:7546-3678,16618398,0.09634
77,20.jpg:4566-3762,53007830,0.10342
78,20.jpg:1722-3738,17564317,0.11411
79,20.jpg:4566-3768,18356141,0.08526
80,20.jpg:7410-3820,17089007,0.11201
81,21.jpg:4758-3594,50362088,0.13067
82,21.jpg:1930-3624,16729262,0.15216
83,21.jpg:4758-3582,17605025,0.14395
84,21.jpg:7586-3579,16036323,0.09371
85,22.jpg:4836-3918,52887603,0.15650
86,22.jpg:2004-3918,17768162,0.17647
87,22.jpg:4836-3907,17961930,0.13181
88,22.jpg:7668-3896,17169692,0.16171
89,23.jpg:4734-3960,53054208,0.12617
90,23.jpg:1922-3972,17388829,0.09939
91,23.jpg:4734-3960,17849443,0.11739
92,23.jpg:7546-3948,17815085,0.16121
93,24.jpg:4728-3774,52711857,0.06175
94,24.jpg:1904-3822,17977277,0.06675
95,24.jpg:4728-3772,16801186,0.05651
96,24.jpg:7552-3722,17922379,0.06168
97,25.jpg:4662-3882,54652752,0.07609
98,25.jpg:1850-3894,18070691,0.07885
99,25.jpg:4662-3870,18321205,0.07327
100,25.jpg:7474-3846,18254102,0.07599
101,26.jpg:4800-3888,51327863,0.04929
102,26.jpg:2088-3888,16951394,0.04552
103,26.jpg:4800-3886,17399751,0.05571
104,26.jpg:7512-3883,16984501,0.04650
105,27.jpg:4602-3894,52255234,0.07943
106,27.jpg:1814-3922,17535212,0.06512
107,27.jpg:4602-3889,17631974,0.09698
108,27.jpg:7390-3858,17084684,0.07606
109,28.jpg:4596-3714,52705440,0.08545
110,28.jpg:1836-3734,17533915,0.07820
111,28.jpg:4596-3722,17619447,0.07769
112,28.jpg:7356-3710,17551452,0.10039
113,29.jpg:4704-3840,53732153,0.07616
114,29.jpg:1872-3832,17846138,0.07572
115,29.jpg:4704-3850,18061298,0.07380
116,29.jpg:7536-3868,17816891,0.07901
117,30.jpg:4794-3780,54144276,0.08828
118,30.jpg:1934-3808,17818317,0.08923
119,30.jpg:4794-3784,18187887,0.09532
120,30.jpg:7654-3760,18138344,0.08029
121,31.jpg:4716-3774,53118264,0.17704
122,31.jpg:1916-3782,17464513,0.20705
123,31.jpg:4716-3778,17800762,0.17304
124,31.jpg:7516-3774,17833349,0.15182
125,32.jpg:4704-3762,53346948,0.13180
126,32.jpg:1888-3802,17560924,0.12520
127,32.jpg:4704-3781,17904918,0.13437
128,32.jpg:7520-3762,17868405,0.13570
129,33.jpg:4758-3744,50748978,0.23731
130,33.jpg:2050-3708,16823597,0.26627
131,33.jpg:4758-3729,16977119,0.22230
132,33.jpg:7466-3752,16942324,0.22364
133,34.jpg:4680-3708,52050240,0.23442
134,34.jpg:1920-3708,17192657,0.25144
135,34.jpg:4680-3708,17550015,0.22737
136,34.jpg:7440-3708,17296519,0.22487
137,35.jpg:4686-3750,52509744,0.19792
138,35.jpg:1922-3750,17553449,0.18415
139,35.jpg:4686-3751,17701003,0.22699
140,35.jpg:7450-3753,17271343,0.18193
141,36.jpg:4680-3858,50056278,0.25469
142,36.jpg:1944-3722,15307392,0.23366
143,36.jpg:4680-3796,17222058,0.28469
144,36.jpg:7416-3870,17524892,0.24358
145,37.jpg:4716-3744,54876253,0.07195
146,37.jpg:1852-3781,17744034,0.06262
147,37.jpg:4716-3762,18424849,0.07727
148,37.jpg:7580-3744,18695329,0.07548
149,38.jpg:4734-3798,52305265,0.10385
150,38.jpg:1922-3786,16957567,0.09486
151,38.jpg:4734-3792,17693421,0.10487
152,38.jpg:7546-3798,17639766,0.11149
153,39.jpg:4620-3726,54235218,0.12476
154,39.jpg:1820-3742,18137398,0.11096
155,39.jpg:4620-3698,18141596,0.09872
156,39.jpg:7420-3654,17949968,0.16518
157,40.jpg:4650-3564,52221391,0.08156
158,40.jpg:1854-3589,16908789,0.06009
159,40.jpg:4650-3576,17641805,0.08011
160,40.jpg:7446-3564,17660519,0.10347
161,41.jpg:4638-3774,52899701,0.17757
162,41.jpg:1850-3774,17711776,0.12844
163,41.jpg:4638-3781,17801833,0.20349
164,41.jpg:7426-3789,17394754,0.20119
165,42.jpg:4686-3750,51869532,0.25329
166,42.jpg:1946-3760,17186233,0.19625
167,42.jpg:4686-3757,17337402,0.25833
168,42.jpg:7426-3750,17345318,0.30488
169,43.jpg:4644-4032,54444172,0.06392
170,43.jpg:1756-3973,17855835,0.05577
171,43.jpg:4644-4020,18582760,0.05349
172,43.jpg:7532-4068,17997212,0.08279
173,44.jpg:4746-3690,53710680,0.11800
174,44.jpg:1910-3667,17964092,0.10724
175,44.jpg:4746-3684,17969560,0.12749
176,44.jpg:7582-3690,17770477,0.11940
177,45.jpg:4710-4032,52997172,0.13970
178,45.jpg:1858-4044,18085348,0.10406
179,45.jpg:4710-4009,18309415,0.13547
180,45.jpg:7562-3970,16602980,0.18323
181,46.jpg:4698-3798,53375106,0.11971
182,46.jpg:1870-3790,17838664,0.07664
183,46.jpg:4698-3796,17967760,0.12795
184,46.jpg:7526-3802,17563101,0.15503
185,47.jpg:4692-3894,52283122,0.18970
186,47.jpg:1932-3868,17348007,0.16697
187,47.jpg:4692-3901,17801259,0.18845
188,47.jpg:7452-3930,17135618,0.21390
189,48.jpg:4680-3828,50815872,0.19389
190,48.jpg:1944-3813,16397311,0.17214
191,48.jpg:4680-3820,17132009,0.19326
192,48.jpg:7416-3828,17273877,0.21523
